bucket,confidence,currentBrand,fileId,guessedBrand,model,normalizedModel,oldBrand,previewUrl,reason,reviewStatus,rule,suggestedBrand,suggestionReason,title,viewerUrl
68xxx,high,DO ROZPOZNANIA,15fHilGd0EQceROaKxzwRkhMs3hIkvIOC,LUND,68052,68052,DO ROZPOZNANIA,https://drive.google.com/file/d/15fHilGd0EQceROaKxzwRkhMs3hIkvIOC/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68052.pdf,https://drive.google.com/file/d/15fHilGd0EQceROaKxzwRkhMs3hIkvIOC/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1JiV9xzhwVEfGeP9GYf7A1bwO7fTTlJQb,LUND,68053,68053,DO ROZPOZNANIA,https://drive.google.com/file/d/1JiV9xzhwVEfGeP9GYf7A1bwO7fTTlJQb/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68053.pdf,https://drive.google.com/file/d/1JiV9xzhwVEfGeP9GYf7A1bwO7fTTlJQb/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1s_XhcReiJ-APMR_W09yCjIA1lwnCbn1j,LUND,68090,68090,DO ROZPOZNANIA,https://drive.google.com/file/d/1s_XhcReiJ-APMR_W09yCjIA1lwnCbn1j/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68090.pdf,https://drive.google.com/file/d/1s_XhcReiJ-APMR_W09yCjIA1lwnCbn1j/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1sTwLTkPO09tS1AycZYOQMwmNJbwSfgJz,LUND,68100,68100,DO ROZPOZNANIA,https://drive.google.com/file/d/1sTwLTkPO09tS1AycZYOQMwmNJbwSfgJz/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68100.pdf,https://drive.google.com/file/d/1sTwLTkPO09tS1AycZYOQMwmNJbwSfgJz/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1KZIrptc1tEyM0LsvOCwZ4n_hQzwuT8Y8,LUND,68115,68115,DO ROZPOZNANIA,https://drive.google.com/file/d/1KZIrptc1tEyM0LsvOCwZ4n_hQzwuT8Y8/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68115.pdf,https://drive.google.com/file/d/1KZIrptc1tEyM0LsvOCwZ4n_hQzwuT8Y8/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1qIhSw2K1Ib1bmgxlo9FunzdoJ9e09QwG,LUND,68116,68116,DO ROZPOZNANIA,https://drive.google.com/file/d/1qIhSw2K1Ib1bmgxlo9FunzdoJ9e09QwG/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68116.pdf,https://drive.google.com/file/d/1qIhSw2K1Ib1bmgxlo9FunzdoJ9e09QwG/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1Yf56CkUZvtrCzPsHCbrRuacQAETB2tnh,LUND,68172,68172,DO ROZPOZNANIA,https://drive.google.com/file/d/1Yf56CkUZvtrCzPsHCbrRuacQAETB2tnh/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68172.pdf,https://drive.google.com/file/d/1Yf56CkUZvtrCzPsHCbrRuacQAETB2tnh/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,18FXcfiSVEMMOTuMJRkp7AytieByvghzY,LUND,68173,68173,DO ROZPOZNANIA,https://drive.google.com/file/d/18FXcfiSVEMMOTuMJRkp7AytieByvghzY/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68173.pdf,https://drive.google.com/file/d/18FXcfiSVEMMOTuMJRkp7AytieByvghzY/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,15U7tmRitQJAaSxC6UD3B3oS451A4UPoU,LUND,68174,68174,DO ROZPOZNANIA,https://drive.google.com/file/d/15U7tmRitQJAaSxC6UD3B3oS451A4UPoU/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68174.pdf,https://drive.google.com/file/d/15U7tmRitQJAaSxC6UD3B3oS451A4UPoU/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1LXYEedTVlUe0opdPRquobrQnrf71zDSR,LUND,68193,68193,DO ROZPOZNANIA,https://drive.google.com/file/d/1LXYEedTVlUe0opdPRquobrQnrf71zDSR/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68193.pdf,https://drive.google.com/file/d/1LXYEedTVlUe0opdPRquobrQnrf71zDSR/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1b9cwP4-ANPCThZQd0viYbq-McT5u4ULg,LUND,68194,68194,DO ROZPOZNANIA,https://drive.google.com/file/d/1b9cwP4-ANPCThZQd0viYbq-McT5u4ULg/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68194.pdf,https://drive.google.com/file/d/1b9cwP4-ANPCThZQd0viYbq-McT5u4ULg/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1vysCeoKCGQUs-R2QuJPWTNHChxLlAPJV,LUND,68195,68195,DO ROZPOZNANIA,https://drive.google.com/file/d/1vysCeoKCGQUs-R2QuJPWTNHChxLlAPJV/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68195.pdf,https://drive.google.com/file/d/1vysCeoKCGQUs-R2QuJPWTNHChxLlAPJV/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1G43WXea30oPt-Lhr-PMVnYTkSCi30xac,LUND,68206,68206,DO ROZPOZNANIA,https://drive.google.com/file/d/1G43WXea30oPt-Lhr-PMVnYTkSCi30xac/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68206 68207 68208 68209.pdf,https://drive.google.com/file/d/1G43WXea30oPt-Lhr-PMVnYTkSCi30xac/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1LQPeWi-rAOHHft-3u1IW7L-PySzBYhh8,LUND,68216,68216,DO ROZPOZNANIA,https://drive.google.com/file/d/1LQPeWi-rAOHHft-3u1IW7L-PySzBYhh8/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68216.pdf,https://drive.google.com/file/d/1LQPeWi-rAOHHft-3u1IW7L-PySzBYhh8/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1h-k0mTYeD1zi5STGS6y9QWCr4Xx2YxbV,LUND,68217,68217,DO ROZPOZNANIA,https://drive.google.com/file/d/1h-k0mTYeD1zi5STGS6y9QWCr4Xx2YxbV/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68217.pdf,https://drive.google.com/file/d/1h-k0mTYeD1zi5STGS6y9QWCr4Xx2YxbV/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1BMD-iNrhKVZNoxnyc2ONE8fuZiCBagci,LUND,68218,68218,DO ROZPOZNANIA,https://drive.google.com/file/d/1BMD-iNrhKVZNoxnyc2ONE8fuZiCBagci/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68218.pdf,https://drive.google.com/file/d/1BMD-iNrhKVZNoxnyc2ONE8fuZiCBagci/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1GlJn6x3b90bP0hjsqy_ej0qy__ttbAeo,LUND,68219-68223,68219-68223,DO ROZPOZNANIA,https://drive.google.com/file/d/1GlJn6x3b90bP0hjsqy_ej0qy__ttbAeo/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68219_68223.pdf,https://drive.google.com/file/d/1GlJn6x3b90bP0hjsqy_ej0qy__ttbAeo/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1psrarZ08GxHpV32BduIFhdbnBLdunxlt,LUND,68250,68250,DO ROZPOZNANIA,https://drive.google.com/file/d/1psrarZ08GxHpV32BduIFhdbnBLdunxlt/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68250.pdf,https://drive.google.com/file/d/1psrarZ08GxHpV32BduIFhdbnBLdunxlt/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1x9wsvjAW_-5rbu8z2UzOa2TSdpJu1bEb,LUND,68251,68251,DO ROZPOZNANIA,https://drive.google.com/file/d/1x9wsvjAW_-5rbu8z2UzOa2TSdpJu1bEb/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68251.pdf,https://drive.google.com/file/d/1x9wsvjAW_-5rbu8z2UzOa2TSdpJu1bEb/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1R9gpvxDc-8mT_HYutC4wa3XEkD6sF8Q-,LUND,68260,68260,DO ROZPOZNANIA,https://drive.google.com/file/d/1R9gpvxDc-8mT_HYutC4wa3XEkD6sF8Q-/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68260.pdf,https://drive.google.com/file/d/1R9gpvxDc-8mT_HYutC4wa3XEkD6sF8Q-/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,16gz5TAMMYACrZL5eq3aaqAiKyr60ajsP,LUND,68270,68270,DO ROZPOZNANIA,https://drive.google.com/file/d/16gz5TAMMYACrZL5eq3aaqAiKyr60ajsP/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68270.pdf,https://drive.google.com/file/d/16gz5TAMMYACrZL5eq3aaqAiKyr60ajsP/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1tCHh5iVgTNXeO-0ubNu-cY6RrUtvPAF4,LUND,68271,68271,DO ROZPOZNANIA,https://drive.google.com/file/d/1tCHh5iVgTNXeO-0ubNu-cY6RrUtvPAF4/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68271.pdf,https://drive.google.com/file/d/1tCHh5iVgTNXeO-0ubNu-cY6RrUtvPAF4/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1tZvd7BpIVC8fd7LPG7EnwnWS84W6CrDc,LUND,68272,68272,DO ROZPOZNANIA,https://drive.google.com/file/d/1tZvd7BpIVC8fd7LPG7EnwnWS84W6CrDc/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68272.pdf,https://drive.google.com/file/d/1tZvd7BpIVC8fd7LPG7EnwnWS84W6CrDc/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,14oV0c9ueIlXhrid34Sj7U9-gzGivB3_4,LUND,68273,68273,DO ROZPOZNANIA,https://drive.google.com/file/d/14oV0c9ueIlXhrid34Sj7U9-gzGivB3_4/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68273.pdf,https://drive.google.com/file/d/14oV0c9ueIlXhrid34Sj7U9-gzGivB3_4/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1nF1PE5pvOYwJWj1p_o9Hq5jcPhHUeoPV,LUND,68280,68280,DO ROZPOZNANIA,https://drive.google.com/file/d/1nF1PE5pvOYwJWj1p_o9Hq5jcPhHUeoPV/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68280.pdf,https://drive.google.com/file/d/1nF1PE5pvOYwJWj1p_o9Hq5jcPhHUeoPV/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1pTOBooQlKQUqV9ojSW11yvN6W-Cy34mP,LUND,68281,68281,DO ROZPOZNANIA,https://drive.google.com/file/d/1pTOBooQlKQUqV9ojSW11yvN6W-Cy34mP/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68281.pdf,https://drive.google.com/file/d/1pTOBooQlKQUqV9ojSW11yvN6W-Cy34mP/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1pQSW-RzgX52fzy2qCp-uk-Tmc7KIx5C7,LUND,68477,68477,DO ROZPOZNANIA,https://drive.google.com/file/d/1pQSW-RzgX52fzy2qCp-uk-Tmc7KIx5C7/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68477.pdf,https://drive.google.com/file/d/1pQSW-RzgX52fzy2qCp-uk-Tmc7KIx5C7/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1TSLsMvrwnRG1lGQTnTOOTFYwCRRrbbkZ,LUND,68480,68480,DO ROZPOZNANIA,https://drive.google.com/file/d/1TSLsMvrwnRG1lGQTnTOOTFYwCRRrbbkZ/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68480.pdf,https://drive.google.com/file/d/1TSLsMvrwnRG1lGQTnTOOTFYwCRRrbbkZ/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1hkM9Bs9bcjmyK6cOLHG-YPDQjIxzFMIb,LUND,68481,68481,DO ROZPOZNANIA,https://drive.google.com/file/d/1hkM9Bs9bcjmyK6cOLHG-YPDQjIxzFMIb/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68481.pdf,https://drive.google.com/file/d/1hkM9Bs9bcjmyK6cOLHG-YPDQjIxzFMIb/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1BmY-I3XWXWaFuSrBFp7nu-_YhUaWRDz8,LUND,68501,68501,DO ROZPOZNANIA,https://drive.google.com/file/d/1BmY-I3XWXWaFuSrBFp7nu-_YhUaWRDz8/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68501.pdf,https://drive.google.com/file/d/1BmY-I3XWXWaFuSrBFp7nu-_YhUaWRDz8/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1rZxyvUdDPyQVaRK-SCsHRt0Ff1jeFjgX,LUND,68502,68502,DO ROZPOZNANIA,https://drive.google.com/file/d/1rZxyvUdDPyQVaRK-SCsHRt0Ff1jeFjgX/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68502.pdf,https://drive.google.com/file/d/1rZxyvUdDPyQVaRK-SCsHRt0Ff1jeFjgX/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1FB4xXT8ZsD0iTtIMRniyyI606j_DB4iY,LUND,68510,68510,DO ROZPOZNANIA,https://drive.google.com/file/d/1FB4xXT8ZsD0iTtIMRniyyI606j_DB4iY/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68510.pdf,https://drive.google.com/file/d/1FB4xXT8ZsD0iTtIMRniyyI606j_DB4iY/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1ZHv-KtM0-VBaUIC4wYjAQOvoEFWuCFOe,LUND,68650,68650,DO ROZPOZNANIA,https://drive.google.com/file/d/1ZHv-KtM0-VBaUIC4wYjAQOvoEFWuCFOe/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68650.pdf,https://drive.google.com/file/d/1ZHv-KtM0-VBaUIC4wYjAQOvoEFWuCFOe/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1yXg67R3HTcEXS4NGEO6HUH8xB-4AukI5,LUND,68651,68651,DO ROZPOZNANIA,https://drive.google.com/file/d/1yXg67R3HTcEXS4NGEO6HUH8xB-4AukI5/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68651.pdf,https://drive.google.com/file/d/1yXg67R3HTcEXS4NGEO6HUH8xB-4AukI5/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1AfnCxtGNSfioIbpVApiCi39qCPiaTw8X,LUND,68652,68652,DO ROZPOZNANIA,https://drive.google.com/file/d/1AfnCxtGNSfioIbpVApiCi39qCPiaTw8X/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68652.pdf,https://drive.google.com/file/d/1AfnCxtGNSfioIbpVApiCi39qCPiaTw8X/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1KCLT3gdez_mM0NC9Eeh9ch6Qr_F7cauO,LUND,68791,68791,DO ROZPOZNANIA,https://drive.google.com/file/d/1KCLT3gdez_mM0NC9Eeh9ch6Qr_F7cauO/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68791.pdf,https://drive.google.com/file/d/1KCLT3gdez_mM0NC9Eeh9ch6Qr_F7cauO/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1hvRa9rnEqrxP1X62VSd9qf241GYuimvC,LUND,68792,68792,DO ROZPOZNANIA,https://drive.google.com/file/d/1hvRa9rnEqrxP1X62VSd9qf241GYuimvC/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68792.pdf,https://drive.google.com/file/d/1hvRa9rnEqrxP1X62VSd9qf241GYuimvC/view?usp=drivesdk
68xxx,high,DO ROZPOZNANIA,1aNaojBY37kRICtQ6WkOeKjtlI9Dm0aDO,LUND,68793,68793,DO ROZPOZNANIA,https://drive.google.com/file/d/1aNaojBY37kRICtQ6WkOeKjtlI9Dm0aDO/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_68793.pdf,https://drive.google.com/file/d/1aNaojBY37kRICtQ6WkOeKjtlI9Dm0aDO/view?usp=drivesdk
70xxx,low,DO ROZPOZNANIA,1O2A--OzQc5J1DdNZqxS_i-hiLiERGotq,LUND,70280,70280,DO ROZPOZNANIA,https://drive.google.com/file/d/1O2A--OzQc5J1DdNZqxS_i-hiLiERGotq/preview,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,guessed_needs_confirmation,range_70_72_lund_low,LUND,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,Czesci_zamienne_70280.pdf,https://drive.google.com/file/d/1O2A--OzQc5J1DdNZqxS_i-hiLiERGotq/view?usp=drivesdk
71xxx,low,DO ROZPOZNANIA,1sNav0wPmLS78pFC2ZFNqGmgqSmFgiPn_,LUND,71500,71500,DO ROZPOZNANIA,https://drive.google.com/file/d/1sNav0wPmLS78pFC2ZFNqGmgqSmFgiPn_/preview,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,guessed_needs_confirmation,range_70_72_lund_low,LUND,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,Czesci_zamienne_71500.pdf,https://drive.google.com/file/d/1sNav0wPmLS78pFC2ZFNqGmgqSmFgiPn_/view?usp=drivesdk
72xxx,low,DO ROZPOZNANIA,1etGMUo-snHA2-lPNUsnXcdbcvp_2oHx0,LUND,72928,72928,DO ROZPOZNANIA,https://drive.google.com/file/d/1etGMUo-snHA2-lPNUsnXcdbcvp_2oHx0/preview,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,guessed_needs_confirmation,range_70_72_lund_low,LUND,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,Czesci_zamienne_72928.pdf,https://drive.google.com/file/d/1etGMUo-snHA2-lPNUsnXcdbcvp_2oHx0/view?usp=drivesdk
72xxx,low,DO ROZPOZNANIA,11ZL0EDRcOIgF1V5qpozXiVHvb2D4d4kT,LUND,72930,72930,DO ROZPOZNANIA,https://drive.google.com/file/d/11ZL0EDRcOIgF1V5qpozXiVHvb2D4d4kT/preview,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,guessed_needs_confirmation,range_70_72_lund_low,LUND,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,Czesci_zamienne_72930.pdf,https://drive.google.com/file/d/11ZL0EDRcOIgF1V5qpozXiVHvb2D4d4kT/view?usp=drivesdk
73xxx,medium,DO ROZPOZNANIA,1xj3l2AaEtD7nOwO0dSlLxn2_bAs_eo7Q,LUND,73056,73056,DO ROZPOZNANIA,https://drive.google.com/file/d/1xj3l2AaEtD7nOwO0dSlLxn2_bAs_eo7Q/preview,Zakres 73xxx przypisany do LUND na podstawie potwierdzonego 73060 i sąsiedztwa AGD.,guessed_needs_confirmation,range_73_lund,LUND,Zakres 73xxx przypisany do LUND na podstawie potwierdzonego 73060 i sąsiedztwa AGD.,Czesci_zamienne_73056.pdf,https://drive.google.com/file/d/1xj3l2AaEtD7nOwO0dSlLxn2_bAs_eo7Q/view?usp=drivesdk
73xxx,medium,DO ROZPOZNANIA,1ijx7LHkIJpJzo9gHU6AI1XdAwAPRjOOe,LUND,73200,73200,DO ROZPOZNANIA,https://drive.google.com/file/d/1ijx7LHkIJpJzo9gHU6AI1XdAwAPRjOOe/preview,Zakres 73xxx przypisany do LUND na podstawie potwierdzonego 73060 i sąsiedztwa AGD.,guessed_needs_confirmation,range_73_lund,LUND,Zakres 73xxx przypisany do LUND na podstawie potwierdzonego 73060 i sąsiedztwa AGD.,Czesci_zamienne_73200.pdf,https://drive.google.com/file/d/1ijx7LHkIJpJzo9gHU6AI1XdAwAPRjOOe/view?usp=drivesdk
